Hugo_Symbol	CPTAC_MSI	CPTAC_MSS	pval	or	ci.up	ci.low	adjPval	Freq_Ratio_MSI_CPTAC	Freq_Ratio_MSS_CPTAC
ACVR2A	12	0	1.4231814562569107e-11	228.51611599248437	11046.74528481337	23.78569317935691	1.2950951251937887e-9	0.8571428571428571	0
BRAF	11	0	2.3158837459015847e-10	165.73912483444926	7988.736429711283	18.137262496014852	1.0537271043852212e-8	0.7857142857142857	0
RNF43	9	0	3.350943503932696e-8	97.04070027435766	4667.809771210256	11.041201282559827	1.0164528628595843e-6	0.6428571428571429	0
CREBBP	7	0	2.658190215784784e-6	60.011457494449594	2909.1936976254465	6.758275340241818	4.0315884939402555e-5	0.5	0
POLE	7	0	2.658190215784784e-6	60.011457494449594	2909.1936976254465	6.758275340241818	4.0315884939402555e-5	0.5	0
SMARCA4	7	0	2.658190215784784e-6	60.011457494449594	2909.1936976254465	6.758275340241818	4.0315884939402555e-5	0.5	0
ASH1L	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
BMPR2	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
KMT2D	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
LARP7	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
NOTCH1	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
PDS5B	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
PHACTR4	6	0	1.9758778881651835e-5	47.19038819855572	2309.3020398231515	5.193134781652917	1.3831145217156284e-4	0.42857142857142855	0
CLTC	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
EIF5B	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
ESRP1	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
IL17RB	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
NBEAL1	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
NIPA2	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
PHF2	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
PTCH1	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
TTC3	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
TTK	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
UBR5	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
ZNF292	5	0	1.319813920014039e-4	36.746559419419306	1824.802696439704	3.8889033373525703	4.804122668851102e-4	0.35714285714285715	0
ARID1A	8	7	4.200095015524272e-4	10.529801067754766	50.34535509127354	2.4379900223088864	9.665079078391482e-4	0.5714285714285714	0.1076923076923077
AKAP9	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ASCC3	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
ATP1A1	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
CASP8	4	0	7.965724515157814e-4	28.071201263530774	1425.5286949102658	2.788398295618699	9.665079078391482e-4	0.2857142857142857	0
